sid,lid
428,1601
428,1602
428,1605
429,1601
429,1602
429,1605
430,1601
430,1602
430,1605
431,1601
431,1602
431,1605
432,1601
432,1602
432,1605
433,1601
433,1602
433,1605
434,1601
434,1602
434,1605
435,1601
435,1602
435,1605
436,1601
436,1602
436,1605
437,1601
437,1602
437,1605
438,1601
438,1602
438,1605
439,1601
439,1602
439,1605
440,1601
440,1602
440,1605
441,1601
441,1602
441,1605
442,1601
442,1602
442,1605
443,1601
443,1602
443,1605
444,1601
444,1604
444,1607
445,1601
445,1602
445,1605
446,1601
446,1602
446,1605
447,1601
447,1602
447,1605
448,1601
448,1602
448,1605
449,1601
449,1602
449,1605
450,1601
450,1602
450,1605
451,1601
451,1602
451,1605
452,1601
452,1602
452,1605
453,1601
453,1602
453,1605
454,1601
454,1602
454,1605
455,1601
455,1602
455,1605
456,1601
456,1602
456,1605
457,1601
457,1602
457,1605
458,1601
458,1602
458,1605
459,1601
459,1604
459,1606
460,1601
460,1602
460,1605
461,1601
461,1602
461,1605
462,1601
462,1602
462,1605
463,1601
463,1602
463,1605
464,1601
464,1602
464,1605
465,1601
465,1603
465,1607
466,1601
466,1603
466,1606
467,1601
467,1602
467,1605
468,1601
468,1602
468,1605
469,1601
469,1602
469,1605
470,1601
470,1602
470,1605
471,1601
471,1602
471,1605
472,1601
472,1602
472,1605
473,1601
473,1602
473,1605
474,1601
474,1602
474,1605
475,1601
475,1602
475,1605
476,1601
476,1602
476,1605
477,1601
477,1602
477,1605
478,1601
478,1602
478,1605
479,1601
479,1602
479,1605
480,1601
480,1602
480,1605
481,1601
481,1602
481,1605
482,1601
482,1602
482,1605
483,1601
483,1602
483,1605
484,1601
484,1602
484,1605
485,1601
485,1602
485,1605
486,1601
486,1604
486,1607
487,1601
487,1602
487,1605
488,1601
488,1602
488,1605
489,1601
489,1602
489,1605
490,1601
490,1602
490,1605
491,1601
491,1602
491,1605
492,1601
492,1602
492,1605
493,1601
493,1602
493,1605
494,1601
494,1602
494,1605
495,1601
495,1602
495,1605
496,1601
496,1602
496,1605
497,1601
497,1602
497,1605
498,1601
498,1602
498,1605
499,1601
499,1602
499,1605
500,1601
500,1602
500,1605
501,1601
501,1602
501,1605
502,1601
502,1602
502,1605
503,1601
503,1602
503,1605
504,1601
504,1602
504,1605
505,1601
505,1602
505,1605
506,1601
506,1602
506,1605
507,1601
507,1603
507,1606
508,1601
508,1602
508,1605
509,1601
509,1602
509,1605
510,1601
510,1602
510,1605
511,1601
511,1602
511,1605
512,1601
512,1602
512,1605
513,1601
513,1602
513,1605
514,1601
514,1602
514,1605
515,1601
515,1602
515,1605
516,1601
516,1602
516,1605
517,1601
517,1602
517,1605
518,1601
518,1602
518,1605
519,1601
519,1602
519,1605
520,1601
520,1602
520,1605
521,1601
521,1602
521,1605
522,1601
522,1602
522,1605
523,1601
523,1602
523,1605
524,1601
524,1604
524,1607
525,1601
525,1602
525,1605
526,1601
526,1602
526,1605
527,1601
527,1602
527,1605
528,1601
528,1602
528,1605
529,1601
529,1602
529,1605
530,1601
530,1602
530,1605
531,1601
531,1602
531,1605
532,1601
532,1603
532,1606
533,1601
533,1602
533,1605
534,1601
534,1602
534,1605
535,1601
535,1602
535,1605
536,1601
536,1602
536,1605
537,1601
537,1602
537,1605
538,1601
538,1602
538,1605
539,1601
539,1602
539,1605
540,1601
540,1602
540,1605
541,1601
541,1603
541,1607
542,1601
542,1602
542,1605
543,1601
543,1602
543,1605
544,1601
544,1603
544,1606
545,1601
545,1602
545,1605
546,1601
546,1602
546,1605
547,1601
547,1603
547,1607
548,1601
548,1602
548,1605
549,1601
549,1602
549,1605
550,1601
550,1602
550,1605
551,1601
551,1602
551,1605
552,1601
552,1602
552,1605
553,1601
553,1602
553,1605
554,1601
554,1603
554,1606
555,1601
555,1602
555,1605
556,1601
556,1602
556,1605
557,1601
557,1603
557,1607
558,1601
558,1602
558,1605
559,1601
559,1603
559,1606
560,1601
560,1602
560,1605
561,1601
561,1602
561,1605
562,1601
562,1602
562,1605
563,1601
563,1604
563,1607
564,1601
564,1603
564,1606
565,1601
565,1603
565,1607
566,1601
566,1602
566,1605
567,1601
567,1603
567,1606
568,1601
568,1602
568,1605
569,1601
569,1602
569,1605
570,1601
570,1602
570,1605
571,1601
571,1604
571,1607
572,1601
572,1602
572,1605
573,1601
573,1602
573,1605
574,1601
574,1602
574,1605
575,1601
575,1602
575,1605
576,1601
576,1602
